message;intent;confidence;new_intent;date;status
"Cidade  Ribeirão Preto. 
Clínica independência";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Cidade: Ribeirão Preto";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Ribeirão preto clínica independência";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Ribeirão Preto";irrelevant;1.000000000000000;NULL;2020-03-03;approved
"Ribeirão preto";irrelevant;1.000000000000000;NULL;2020-03-03;approved
Reagendar;reagendamento;0.992766857147217;NULL;2020-03-03;new
Reagendar;reagendamento;0.992766857147217;NULL;2020-03-03;new
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
"Clínico geral";reagendamento;0.473467278480530;NULL;2020-03-03;approved
"Belo Horizonte";irrelevant;1.000000000000000;NULL;2020-03-03;new
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
Oftalmologista;irrelevant;1.000000000000000;NULL;2020-03-03;new
"12/03/2019 as 11:00";consultas;0.476640915870667;NULL;2020-03-03;new
"12/03/2020 as 11:00";consultas;0.476640915870667;NULL;2020-03-03;new
Oi;irrelevant;1.000000000000000;NULL;2020-03-03;new
Tentar;irrelevant;1.000000000000000;NULL;2020-03-03;approved
"3/03/2020 as18:30";consultas;0.208809427323151;NULL;2020-03-03;new
Tentar;irrelevant;1.000000000000000;NULL;2020-03-03;approved
Outros;reagendamento;0.201751058904569;NULL;2020-03-03;new
Ginecologista;irrelevant;1.000000000000000;NULL;2020-03-03;new
"Marca consulta";cancelamento;0.484137201309204;NULL;2020-03-03;new
"Ribeirão preto";irrelevant;1.000000000000000;NULL;2020-03-03;approved
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
Ginecologista;irrelevant;1.000000000000000;NULL;2020-03-03;new
"Minha cidade estou falando em Ribeirão Preto gostaria de marcar uma consulta com a Doutora Juliana gostaria de saber se já já abriu a agenda dela";agendamento;0.964576911926270;NULL;2020-03-03;new
"Ribeirão Preto sp";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Belo Horizonte";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Sobre a minha consulta marcada pra hoje, n tem um horário mais tarde não?? Houve um imprevisto e vou chegar um pouco atrasada";cancelamento;0.284325838088989;NULL;2020-03-03;new
Alterar;reagendamento;0.914856004714966;NULL;2020-03-03;new
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
Ginecologista;irrelevant;1.000000000000000;NULL;2020-03-03;new
"Belo Horizonte";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Belo Horizonte";irrelevant;1.000000000000000;NULL;2020-03-03;new
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
Neurologista;irrelevant;1.000000000000000;NULL;2020-03-03;new
"Clínico geral";reagendamento;0.473467278480530;NULL;2020-03-03;approved
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
Agedar;irrelevant;1.000000000000000;NULL;2020-03-03;new
"Clínico geral";reagendamento;0.473467278480530;NULL;2020-03-03;approved
"Ribeirão Preto";irrelevant;1.000000000000000;NULL;2020-03-03;approved
"Gostaria de marcar consulta com o Dr Leandro Sérgio cardiologista";agendamento;0.458778905868530;NULL;2020-03-03;new
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
"Belo horizonte";irrelevant;1.000000000000000;NULL;2020-03-03;new
Dermatologista;irrelevant;1.000000000000000;NULL;2020-03-03;new
"Ribeirão Preto";irrelevant;1.000000000000000;NULL;2020-03-03;approved
"Ribeirão Preto";irrelevant;1.000000000000000;NULL;2020-03-03;approved
Tentar;irrelevant;1.000000000000000;NULL;2020-03-03;approved
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
Dermatologista;irrelevant;1.000000000000000;NULL;2020-03-03;new
"Ribeirão preto";irrelevant;1.000000000000000;NULL;2020-03-03;approved
"Belo Horizonte";irrelevant;1.000000000000000;NULL;2020-03-03;new
Seguir;irrelevant;1.000000000000000;NULL;2020-03-03;new
Tentar;irrelevant;1.000000000000000;NULL;2020-03-03;approved
Tentar;irrelevant;1.000000000000000;NULL;2020-03-03;approved
"12/03/2020 as 15:00";consultas;0.476640915870667;NULL;2020-03-03;new
Seguir;irrelevant;1.000000000000000;NULL;2020-03-03;new
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
Pediatria;irrelevant;1.000000000000000;NULL;2020-03-03;new
Cardiologista;irrelevant;1.000000000000000;NULL;2020-03-03;new
"Ribeirão Preto";irrelevant;1.000000000000000;NULL;2020-03-03;approved
Fonoaudiologia;irrelevant;1.000000000000000;NULL;2020-03-03;new
Outros;reagendamento;0.201751058904569;NULL;2020-03-03;new
Fonoaudiologia;irrelevant;1.000000000000000;NULL;2020-03-03;new
Fonoaudiologia;irrelevant;1.000000000000000;NULL;2020-03-03;new
"Ribeirão preto";irrelevant;1.000000000000000;NULL;2020-03-03;approved
"Ribeirão Preto";irrelevant;1.000000000000000;NULL;2020-03-03;approved
"Não é particular";irrelevant;1.000000000000000;NULL;2020-03-03;new
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
Outros;reagendamento;0.201751058904569;NULL;2020-03-03;new
Ginicologista;irrelevant;1.000000000000000;NULL;2020-03-03;new
"Cartão de todos";irrelevant;1.000000000000000;NULL;2020-03-03;approved
"A consulta não vai ser como particular";cancelamento;0.393632817268372;NULL;2020-03-03;new
"Ribeirão preto";irrelevant;1.000000000000000;NULL;2020-03-03;approved
Geo;irrelevant;1.000000000000000;NULL;2020-03-03;new
Ginicologia;irrelevant;1.000000000000000;NULL;2020-03-03;new
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
"Especialista saúda da mulher";irrelevant;1.000000000000000;NULL;2020-03-03;new
Cardiologia;irrelevant;1.000000000000000;NULL;2020-03-03;new
Genicologia;irrelevant;1.000000000000000;NULL;2020-03-03;new
"Clínica independência ribeirao preto";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Amanda Gabriela da costa";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Saber o endereço da clínica";irrelevant;1.000000000000000;NULL;2020-03-03;new
"A clínica  fica  no barreiro   contagem";irrelevant;1.000000000000000;NULL;2020-03-03;new
Outros;reagendamento;0.201751058904569;NULL;2020-03-03;new
Ibirité;irrelevant;1.000000000000000;NULL;2020-03-03;new
"Saber o endereço da clínica";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Ribeirão preto.";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Saber o endereço da clínica";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Em Ribeirão preto";irrelevant;1.000000000000000;NULL;2020-03-03;new
Desisti;irrelevant;1.000000000000000;NULL;2020-03-03;new
Outros;reagendamento;0.201751058904569;NULL;2020-03-03;new
"Belo Horizonte";irrelevant;1.000000000000000;NULL;2020-03-03;new
Exames;irrelevant;1.000000000000000;NULL;2020-03-03;approved
Exame;irrelevant;1.000000000000000;NULL;2020-03-03;approved
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
Otorrinolaringologista;irrelevant;1.000000000000000;NULL;2020-03-03;new
Cancelar;cancelamento;0.915500688552857;NULL;2020-03-03;new
Barreiro;irrelevant;1.000000000000000;NULL;2020-03-03;new
Bh;irrelevant;1.000000000000000;NULL;2020-03-03;new
Barreiro;irrelevant;1.000000000000000;NULL;2020-03-03;new
"Belo Horizonte - Barreiro";irrelevant;1.000000000000000;NULL;2020-03-03;new
Encerrar;reagendamento;0.256418700664409;NULL;2020-03-03;new
Outros;reagendamento;0.201751058904569;NULL;2020-03-03;new
Encerrar;reagendamento;0.256418700664409;NULL;2020-03-03;new
"Sou de BH";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Sou de Belo Horizonte MG e a clínica próxima é a do Barreiro";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Belo horizontr";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Belo Horizonte";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Belo Horizonte";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Ribeirão Preto";irrelevant;1.000000000000000;NULL;2020-03-03;approved
"Belo Horizonte";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Caxias do Sul";irrelevant;1.000000000000000;NULL;2020-03-03;new
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
Outros;reagendamento;0.201751058904569;NULL;2020-03-03;new
Alterar;reagendamento;0.914856004714966;NULL;2020-03-03;new
Otorrino;irrelevant;1.000000000000000;NULL;2020-03-03;new
"Marca consulta com a Dr Juliana";cancelamento;0.445785236358643;NULL;2020-03-03;new
"Belo Horizonte";irrelevant;1.000000000000000;NULL;2020-03-03;new
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
Pediatra;irrelevant;1.000000000000000;NULL;2020-03-03;new
Agenda;agendamento;0.954117250442505;NULL;2020-03-03;new
"Belo Horizonte Barreiro";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Bom dia 
Qual endereço da consulta";cancelamento;0.341801059246063;NULL;2020-03-03;new
Ginecologista;irrelevant;1.000000000000000;NULL;2020-03-03;new
"Ribeirão Preto";irrelevant;1.000000000000000;NULL;2020-03-03;approved
Barreiro;irrelevant;1.000000000000000;NULL;2020-03-03;new
"Rib preto";irrelevant;1.000000000000000;NULL;2020-03-03;new
"Ribeirão preto";irrelevant;1.000000000000000;NULL;2020-03-03;approved
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
"Ribeirão Preto";irrelevant;1.000000000000000;NULL;2020-03-03;approved
"E abre agenda que dia?";agendamento;0.948976707458496;NULL;2020-03-03;new
"Ribeirão Preto";irrelevant;1.000000000000000;NULL;2020-03-03;approved
"Belo Horizonte";irrelevant;1.000000000000000;NULL;2020-03-03;new
Odontologia;irrelevant;1.000000000000000;NULL;2020-03-03;approved
Dentista;odontologia;0.272440830888094;NULL;2020-03-03;approved
Odontopediatria;irrelevant;1.000000000000000;NULL;2020-03-03;new
Tentar;irrelevant;1.000000000000000;NULL;2020-03-03;approved
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
"Ribeirao preto";irrelevant;1.000000000000000;NULL;2020-03-03;approved
Agendar;agendamento;0.967977190017700;NULL;2020-03-03;approved
Contagem;irrelevant;1.000000000000000;NULL;2020-03-03;new
Ortopedista;irrelevant;1.000000000000000;NULL;2020-03-03;new
Otorrino;irrelevant;1.000000000000000;NULL;2020-03-03;new
Ginecologista;irrelevant;1.000000000000000;NULL;2020-03-03;new
"Belo Horizonte";irrelevant;1.000000000000000;NULL;2020-03-03;new
